latitude,longitude,group,id
53.40427403,-1.79981277,130256660,-71
53.40427425,-1.79980164,130256660,-71
53.40427436,-1.79981343,130256660,-67
53.40427438,-1.79981493,130256660,-71
53.40427613,-1.79982041,130256660,-67
53.40427637,-1.7998207,130256660,-69
53.40427643,-1.79982078,130256660,-69
53.40427656,-1.79982089,130256660,-69
53.40427679,-1.79982096,130256660,-71
53.40427688,-1.79982108,130256660,-77
53.40427697,-1.79982117,130256660,-67
53.40427699,-1.7998212,130256660,-71
53.40427701,-1.79982131,130256660,-73
53.4042772,-1.7998215,130256660,-71
53.40427736,-1.79982151,130256660,-71
53.40427744,-1.79982161,130256660,-71
53.4042775,-1.79982158,130256660,-75
53.4042775,-1.79982145,130256660,-69
53.40427761,-1.7998215,130256660,-73
53.40427764,-1.79982153,130256660,-69
53.40427777,-1.7998219,130256660,-75
53.40427804,-1.79982028,130256660,-69
53.40428074,-1.79979898,130256660,-71
53.4042808,-1.7997988,130256660,-79
53.40428081,-1.79979879,130256660,-73
53.40428305,-1.79981383,130256660,-65
53.40428345,-1.79981405,130256660,-73
53.40428351,-1.79981393,130256660,-71
53.40428354,-1.79981385,130256660,-71
53.4042848,-1.79981022,130256660,-75
53.40428512,-1.79981073,130256660,-71
53.40428515,-1.79981061,130256660,-73
53.40428527,-1.79981045,130256660,-77
53.40428531,-1.79981042,130256660,-75
53.40428544,-1.79979616,130256660,-69
53.40428545,-1.79981048,130256660,-75
53.4042856,-1.79981058,130256660,-75
53.4042856,-1.79981063,130256660,-73
53.40428569,-1.79980996,130256660,-77
53.40428572,-1.79981068,130256660,-73
53.40428573,-1.79980997,130256660,-71
53.40428575,-1.79981021,130256660,-75
53.40428583,-1.79981037,130256660,-73
53.40428587,-1.79981065,130256660,-79
53.40428589,-1.79981078,130256660,-75
53.40429478,-1.79980544,130256660,-71
53.40429484,-1.79980557,130256660,-71
53.4042949,-1.7998057,130256660,-75
53.40429491,-1.79980555,130256660,-67
53.40429495,-1.79980576,130256660,-73
53.40429653,-1.79981051,130256660,-73
